         Reward           Loss         Length
       -200.000          0.106            200
       -200.000          0.003            200
       -200.000          0.004            200
       -200.000          0.007            200
       -200.000          0.011            200
       -200.000          0.014            200
       -200.000          0.017            200
       -200.000          0.018            200
       -200.000          0.024            200
       -200.000          0.029            200
       -200.000          0.029            200
       -200.000          0.030            200
       -200.000          0.034            200
       -200.000          0.038            200
       -200.000          0.046            200
       -200.000          0.042            200
       -200.000          0.041            200
       -200.000          0.042            200
       -200.000          0.048            200
       -200.000          0.044            200
       -200.000          0.048            200
       -200.000          0.057            200
       -200.000          0.054            200
       -200.000          0.054            200
       -200.000          0.059            200
       -200.000          0.057            200
       -200.000          0.058            200
       -200.000          0.064            200
       -200.000          0.061            200
       -200.000          0.068            200
       -200.000          0.068            200
       -200.000          0.073            200
       -200.000          0.071            200
       -200.000          0.067            200
       -200.000          0.067            200
       -200.000          0.064            200
       -200.000          0.068            200
       -200.000          0.069            200
       -200.000          0.066            200
       -200.000          0.070            200
       -200.000          0.090            200
       -200.000          0.075            200
       -200.000          0.087            200
       -200.000          0.081            200
       -200.000          0.080            200
       -200.000          0.082            200
       -200.000          0.071            200
       -200.000          0.081            200
       -200.000          0.073            200
       -200.000          0.085            200
       -200.000          0.100            200
       -200.000          0.086            200
       -200.000          0.076            200
       -200.000          0.078            200
       -200.000          0.082            200
       -200.000          0.077            200
       -200.000          0.082            200
       -200.000          0.083            200
       -200.000          0.096            200
       -200.000          0.091            200
       -200.000          0.092            200
       -200.000          0.082            200
       -200.000          0.107            200
       -200.000          0.084            200
       -200.000          0.101            200
       -200.000          0.087            200
       -200.000          0.096            200
       -200.000          0.106            200
       -200.000          0.091            200
       -200.000          0.087            200
       -200.000          0.078            200
       -200.000          0.095            200
       -200.000          0.085            200
       -200.000          0.105            200
       -200.000          0.096            200
       -200.000          0.095            200
       -200.000          0.091            200
       -200.000          0.101            200
       -200.000          0.073            200
       -200.000          0.087            200
       -200.000          0.094            200
       -200.000          0.082            200
       -200.000          0.089            200
       -200.000          0.093            200
       -200.000          0.110            200
       -200.000          0.091            200
       -200.000          0.087            200
       -200.000          0.074            200
       -200.000          0.092            200
       -200.000          0.092            200
       -200.000          0.080            200
       -200.000          0.106            200
       -200.000          0.093            200
       -200.000          0.101            200
       -200.000          0.091            200
       -200.000          0.088            200
       -200.000          0.101            200
       -200.000          0.107            200
       -200.000          0.079            200
       -200.000          0.101            200
       -200.000          0.091            200
       -200.000          0.076            200
       -200.000          0.082            200
       -200.000          0.085            200
       -200.000          0.083            200
       -200.000          0.094            200
       -200.000          0.082            200
       -200.000          0.085            200
       -200.000          0.081            200
       -200.000          0.095            200
       -200.000          0.105            200
       -200.000          0.096            200
       -200.000          0.093            200
       -200.000          0.100            200
       -200.000          0.085            200
       -200.000          0.093            200
       -200.000          0.083            200
       -200.000          0.090            200
       -200.000          0.090            200
       -200.000          0.099            200
       -200.000          0.098            200
       -200.000          0.097            200
       -200.000          0.093            200
       -200.000          0.089            200
       -200.000          0.092            200
       -200.000          0.090            200
       -200.000          0.090            200
       -200.000          0.083            200
       -200.000          0.094            200
       -200.000          0.086            200
       -200.000          0.096            200
       -200.000          0.086            200
       -200.000          0.097            200
       -200.000          0.076            200
       -200.000          0.084            200
       -200.000          0.090            200
       -200.000          0.092            200
       -200.000          0.079            200
       -200.000          0.097            200
       -200.000          0.085            200
       -200.000          0.083            200
       -200.000          0.088            200
       -200.000          0.096            200
       -200.000          0.088            200
       -200.000          0.101            200
       -200.000          0.094            200
       -200.000          0.079            200
       -200.000          0.105            200
       -200.000          0.086            200
       -200.000          0.092            200
       -200.000          0.080            200
       -200.000          0.085            200
       -200.000          0.096            200
       -200.000          0.109            200
       -200.000          0.084            200
       -200.000          0.086            200
       -200.000          0.096            200
       -200.000          0.083            200
       -200.000          0.114            200
       -200.000          0.084            200
       -200.000          0.089            200
       -200.000          0.087            200
       -200.000          0.092            200
       -200.000          0.093            200
       -200.000          0.087            200
       -200.000          0.104            200
       -200.000          0.073            200
       -200.000          0.077            200
       -200.000          0.078            200
       -200.000          0.086            200
       -200.000          0.109            200
       -200.000          0.095            200
       -200.000          0.101            200
       -200.000          0.093            200
       -200.000          0.087            200
       -200.000          0.103            200
       -200.000          0.078            200
       -200.000          0.088            200
       -200.000          0.100            200
       -200.000          0.111            200
       -200.000          0.097            200
       -200.000          0.093            200
       -200.000          0.088            200
       -200.000          0.088            200
       -200.000          0.093            200
       -200.000          0.092            200
       -200.000          0.093            200
       -200.000          0.082            200
       -200.000          0.088            200
       -200.000          0.103            200
       -200.000          0.104            200
       -200.000          0.088            200
       -200.000          0.087            200
       -200.000          0.088            200
       -200.000          0.093            200
       -200.000          0.090            200
       -200.000          0.086            200
       -200.000          0.108            200
       -200.000          0.097            200
       -200.000          0.093            200
       -200.000          0.099            200
       -200.000          0.089            200
       -200.000          0.093            200
       -200.000          0.076            200
       -200.000          0.108            200
       -200.000          0.093            200
       -200.000          0.085            200
       -200.000          0.098            200
       -200.000          0.091            200
       -200.000          0.095            200
       -200.000          0.081            200
       -200.000          0.081            200
       -200.000          0.106            200
       -200.000          0.103            200
       -200.000          0.081            200
       -200.000          0.079            200
       -200.000          0.097            200
       -200.000          0.078            200
       -200.000          0.101            200
       -200.000          0.083            200
       -200.000          0.107            200
       -200.000          0.108            200
       -200.000          0.096            200
       -200.000          0.083            200
